id_discente,ano_ingresso,periodo_ingresso,concluiu,semestres_para_concluir,renda,sexo_encoded,ano_nascimento,raca_encoded,escola_ens_medio_encoded,cotista_encoded,possui_bolsa_pesquisa,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,s1_ECT2101_nota,s1_ECT2101_status,s1_ECT2102_nota,s1_ECT2102_status,s1_ECT2103_nota,s1_ECT2103_status,s1_ECT2104_nota,s1_ECT2104_status,s1_ECT2105_nota,s1_ECT2105_status,s1_ECT2106_nota,s1_ECT2106_status,s1_ECT2201_nota,s1_ECT2201_status,s1_ECT2202_nota,s1_ECT2202_status,s1_ECT2203_nota,s1_ECT2203_status,s1_ECT2204_nota,s1_ECT2204_status,s1_ECT2205_nota,s1_ECT2205_status,s1_ECT2206_nota,s1_ECT2206_status,s1_ECT2207_nota,s1_ECT2207_status,s1_ECT2301_nota,s1_ECT2301_status,s1_ECT2302_nota,s1_ECT2302_status,s1_ECT2303_nota,s1_ECT2303_status,s1_ECT2304_nota,s1_ECT2304_status,s1_ECT2305_nota,s1_ECT2305_status,s1_ECT2306_nota,s1_ECT2306_status,s1_ECT2307_nota,s1_ECT2307_status,s1_ECT2401_nota,s1_ECT2401_status,s1_ECT2402_nota,s1_ECT2402_status,s1_ECT2403_nota,s1_ECT2403_status,s1_faltas_no_periodo,s1_media_periodo,s1_reprovacoes_no_periodo,s1_total_faltas_acumulado,s1_total_reprovacoes_acumulado,s2_ECT2101_nota,s2_ECT2101_status,s2_ECT2102_nota,s2_ECT2102_status,s2_ECT2103_nota,s2_ECT2103_status,s2_ECT2104_nota,s2_ECT2104_status,s2_ECT2105_nota,s2_ECT2105_status,s2_ECT2106_nota,s2_ECT2106_status,s2_ECT2201_nota,s2_ECT2201_status,s2_ECT2202_nota,s2_ECT2202_status,s2_ECT2203_nota,s2_ECT2203_status,s2_ECT2204_nota,s2_ECT2204_status,s2_ECT2205_nota,s2_ECT2205_status,s2_ECT2206_nota,s2_ECT2206_status,s2_ECT2207_nota,s2_ECT2207_status,s2_ECT2301_nota,s2_ECT2301_status,s2_ECT2302_nota,s2_ECT2302_status,s2_ECT2303_nota,s2_ECT2303_status,s2_ECT2304_nota,s2_ECT2304_status,s2_ECT2305_nota,s2_ECT2305_status,s2_ECT2306_nota,s2_ECT2306_status,s2_ECT2307_nota,s2_ECT2307_status,s2_ECT2401_nota,s2_ECT2401_status,s2_ECT2402_nota,s2_ECT2402_status,s2_ECT2403_nota,s2_ECT2403_status,s2_faltas_no_periodo,s2_media_periodo,s2_reprovacoes_no_periodo,s2_total_faltas_acumulado,s2_total_reprovacoes_acumulado,s3_ECT2101_nota,s3_ECT2101_status,s3_ECT2102_nota,s3_ECT2102_status,s3_ECT2103_nota,s3_ECT2103_status,s3_ECT2104_nota,s3_ECT2104_status,s3_ECT2105_nota,s3_ECT2105_status,s3_ECT2106_nota,s3_ECT2106_status,s3_ECT2201_nota,s3_ECT2201_status,s3_ECT2202_nota,s3_ECT2202_status,s3_ECT2203_nota,s3_ECT2203_status,s3_ECT2204_nota,s3_ECT2204_status,s3_ECT2205_nota,s3_ECT2205_status,s3_ECT2206_nota,s3_ECT2206_status,s3_ECT2207_nota,s3_ECT2207_status,s3_ECT2301_nota,s3_ECT2301_status,s3_ECT2302_nota,s3_ECT2302_status,s3_ECT2303_nota,s3_ECT2303_status,s3_ECT2304_nota,s3_ECT2304_status,s3_ECT2305_nota,s3_ECT2305_status,s3_ECT2306_nota,s3_ECT2306_status,s3_ECT2307_nota,s3_ECT2307_status,s3_ECT2401_nota,s3_ECT2401_status,s3_ECT2402_nota,s3_ECT2402_status,s3_ECT2403_nota,s3_ECT2403_status,s3_faltas_no_periodo,s3_media_periodo,s3_reprovacoes_no_periodo,s3_total_faltas_acumulado,s3_total_reprovacoes_acumulado,s4_ECT2101_nota,s4_ECT2101_status,s4_ECT2102_nota,s4_ECT2102_status,s4_ECT2103_nota,s4_ECT2103_status,s4_ECT2104_nota,s4_ECT2104_status,s4_ECT2105_nota,s4_ECT2105_status,s4_ECT2106_nota,s4_ECT2106_status,s4_ECT2201_nota,s4_ECT2201_status,s4_ECT2202_nota,s4_ECT2202_status,s4_ECT2203_nota,s4_ECT2203_status,s4_ECT2204_nota,s4_ECT2204_status,s4_ECT2205_nota,s4_ECT2205_status,s4_ECT2206_nota,s4_ECT2206_status,s4_ECT2207_nota,s4_ECT2207_status,s4_ECT2301_nota,s4_ECT2301_status,s4_ECT2302_nota,s4_ECT2302_status,s4_ECT2303_nota,s4_ECT2303_status,s4_ECT2304_nota,s4_ECT2304_status,s4_ECT2305_nota,s4_ECT2305_status,s4_ECT2306_nota,s4_ECT2306_status,s4_ECT2307_nota,s4_ECT2307_status,s4_ECT2401_nota,s4_ECT2401_status,s4_ECT2402_nota,s4_ECT2402_status,s4_ECT2403_nota,s4_ECT2403_status,s4_faltas_no_periodo,s4_media_periodo,s4_reprovacoes_no_periodo,s4_total_faltas_acumulado,s4_total_reprovacoes_acumulado
0003f4cc27ecd5ac049f3ec37a76195c,2022,2.0,0.0,2.0,1302.0,0,1983.0,5,2,1,0,0,0,0,0.4,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.07,6.0,20.0,6.0,1.3,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.43,3.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0012eec874bff4c326e63521912828fb,2010,1.0,0.0,9.0,1200.0,1,1991.0,4,-1,0,0,0,0,0,6.9,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,5.5,1.0,8.1,1.0,0.0,0.0,0.0,0.0,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.28,2.0,40.0,2.0,6.9,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,5.5,1.0,8.1,1.0,0.0,0.0,0.4,0.0,5.7,1.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2.1,5.0,99.0,7.0,6.9,1.0,0.0,0.0,2.9,0.0,2.0,0.0,5.5,1.0,8.1,1.0,0.0,0.0,0.4,0.0,5.7,1.0,0.0,0.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,8.5,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.0,99.0,9.0,6.9,1.0,0.0,0.0,2.9,0.0,4.3,0.0,5.5,1.0,8.1,1.0,0.0,0.0,1.5,0.0,5.7,1.0,0.0,0.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,8.5,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.02,5.0,153.0,14.0
002321f817fa95db1e0506e5320df513,2010,2.0,0.0,15.0,4000.0,1,1991.0,1,-1,0,0,0,0,0,2.5,-1.0,0.0,0.0,0.0,0.0,3.4,-1.0,8.1,1.0,6.4,1.0,0.0,0.0,0.0,0.0,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.92,3.0,14.0,3.0,8.0,1.0,0.0,0.0,4.4,0.0,4.8,-1.0,8.1,1.0,6.4,1.0,0.0,0.0,0.0,0.0,8.2,1.0,0.0,0.0,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.0,0.0,0.0,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.77,4.0,50.0,7.0,8.0,1.0,0.0,0.0,4.4,0.0,4.8,0.0,8.1,1.0,6.4,1.0,3.3,0.0,2.1,0.0,8.2,1.0,2.5,0.0,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.0,0.0,0.0,8.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.6,3.0,60.0,10.0,8.0,1.0,0.0,0.0,4.4,0.0,4.8,0.0,8.1,1.0,6.4,1.0,3.3,0.0,2.1,0.0,8.2,1.0,3.5,0.0,5.8,1.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,5.1,1.0,0.0,0.0,8.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.7,3.0,90.0,13.0
003f2bc2c3179baf0bea21a6f3d64d0c,2013,1.0,1.0,8.0,5800.0,1,1995.0,5,-1,0,0,0,0,0,5.0,1.0,4.4,-1.0,1.8,-1.0,5.3,1.0,7.9,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.47,3.0,28.0,3.0,5.0,1.0,4.4,-1.0,7.0,1.0,5.3,1.0,7.9,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,1.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.5,5.0,60.0,8.0,5.0,1.0,4.9,-1.0,7.0,1.0,5.3,1.0,7.9,1.0,5.0,1.0,7.5,1.0,0.0,0.0,5.0,1.0,6.5,1.0,4.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,5.9,1.0,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5.36,3.0,112.0,11.0,5.0,1.0,4.9,0.0,7.0,1.0,5.3,1.0,7.9,1.0,5.0,1.0,7.5,1.0,0.0,0.0,5.0,1.0,6.5,1.0,4.4,0.0,0.0,0.0,2.0,0.0,4.7,0.0,0.0,0.0,3.9,0.0,0.0,0.0,5.9,1.0,5.9,1.0,0.0,0.0,3.9,0.0,5.9,1.0,0.0,0.0,34.0,1.53,9.0,146.0,20.0
005826163b7c91f427b5b9e4b02edefd,2014,2.0,0.0,6.0,3500.0,1,1990.0,5,-1,0,0,0,0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.6,-1.0,7.3,1.0,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,7.3,1.0,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.0,7.3,1.0,7.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1.0,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.76,0.0,40.0,6.0,0.0,0.0,2.7,0.0,0.0,0.0,5.7,1.0,7.3,1.0,7.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,5.1,1.0,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,8.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.46,5.0,94.0,11.0
006421fcffb121bb385f66bb3fd071d7,2018,2.0,0.0,2.0,1800.0,1,1999.0,1,2,1,0,0,0,0,0.2,-1.0,0.9,-1.0,1.3,-1.0,0.9,-1.0,6.2,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.42,4.0,74.0,4.0,0.2,-1.0,0.9,0.0,1.3,-1.0,0.9,0.0,6.2,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.38,5.0,130.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0076fda0d34ec6c6583a45d228ecf076,2014,1.0,0.0,4.0,1500.0,1,1996.0,5,-1,0,0,0,0,0,6.6,1.0,7.0,1.0,5.5,1.0,7.0,1.0,7.5,1.0,6.6,1.0,0.0,0.0,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.53,0.0,20.0,0.0,6.6,1.0,7.7,1.0,5.5,1.0,7.0,1.0,7.5,1.0,6.6,1.0,5.0,1.0,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.0,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.47,3.0,32.0,3.0,6.6,1.0,7.7,1.0,5.5,1.0,7.0,1.0,7.5,1.0,6.6,1.0,5.0,1.0,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.0,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.23,7.0,46.0,10.0,6.6,1.0,7.7,1.0,5.5,1.0,7.0,1.0,7.5,1.0,6.6,1.0,5.0,1.0,0.0,0.0,5.5,1.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.0,6.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,4.0,100.0,14.0
009844fdf108330ba90263c37476db3b,2014,1.0,1.0,4.0,4000.0,0,1995.0,1,-1,0,0,0,0,0,8.1,1.0,7.5,1.0,9.1,1.0,8.9,1.0,8.3,1.0,9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.58,0.0,16.0,0.0,8.1,1.0,8.8,1.0,9.1,1.0,8.9,1.0,8.3,1.0,9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.0,16.0,4.0,8.1,1.0,8.8,1.0,9.1,1.0,8.9,1.0,8.3,1.0,9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.04,7.0,26.0,11.0,8.1,1.0,8.8,1.0,9.1,1.0,8.9,1.0,8.3,1.0,9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1.0,8.1,1.0,8.7,1.0,12.0,8.08,0.0,38.0,11.0
00a0fb714ff259caf096ee10ccaa1368,2023,1.0,,4.0,350.0,0,2004.0,5,2,1,0,0,0,0,1.3,-1.0,0.1,-1.0,3.0,-1.0,4.2,-1.0,7.2,1.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.02,4.0,10.0,4.0,1.7,-1.0,5.1,1.0,3.2,-1.0,4.2,0.0,7.2,1.0,8.3,1.0,0.0,0.0,0.0,0.0,8.2,1.0,0.0,0.0,5.8,1.0,9.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.53,2.0,15.0,6.0,2.0,-1.0,5.1,1.0,3.2,0.0,4.2,0.0,7.2,1.0,8.3,1.0,0.0,0.0,6.5,1.0,8.2,1.0,0.0,0.0,5.8,1.0,9.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.55,2.0,19.0,8.0,2.0,0.0,5.1,1.0,3.2,0.0,4.2,0.0,7.2,1.0,8.3,1.0,0.0,0.0,6.5,1.0,8.2,1.0,0.0,0.0,5.8,1.0,9.2,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.8,0.0,0.0,0.0,6.9,1.0,9.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.8,0.0,27.0,8.0
00b8e48bf60ee440c62d93f5cfed15d6,2010,2.0,0.0,10.0,5500.0,1,1992.0,1,-1,0,0,0,0,0,6.1,1.0,0.0,0.0,8.2,1.0,3.5,-1.0,5.5,1.0,7.6,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.32,1.0,10.0,1.0,6.1,1.0,0.0,0.0,8.2,1.0,3.5,0.0,5.5,1.0,7.6,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,6.0,10.0,7.0,6.1,1.0,0.0,0.0,8.2,1.0,3.5,0.0,5.5,1.0,7.6,1.0,0.0,0.0,1.4,0.0,7.0,1.0,2.6,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,7.1,1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.26,7.0,32.0,14.0,6.1,1.0,0.0,0.0,8.2,1.0,3.5,0.0,5.5,1.0,7.6,1.0,0.0,0.0,1.4,0.0,7.0,1.0,2.6,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,7.1,1.0,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.29,5.0,88.0,19.0
00cd2c50bb38260deb4d55906ac797fe,2012,1.0,1.0,3.0,2000.0,1,1994.0,5,-1,0,0,0,0,0,8.5,1.0,9.9,1.0,10.0,1.0,9.3,1.0,8.3,1.0,8.1,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.16,0.0,4.0,0.0,8.5,1.0,10.0,1.0,10.0,1.0,9.3,1.0,8.3,1.0,8.1,1.0,9.2,1.0,0.0,0.0,10.0,1.0,9.2,1.0,7.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,1.0,0.0,0.0,9.6,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.04,0.0,10.0,0.0,8.5,1.0,10.0,1.0,10.0,1.0,9.3,1.0,8.3,1.0,8.1,1.0,9.2,1.0,0.0,0.0,10.0,1.0,9.2,1.0,7.9,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,9.4,1.0,8.7,1.0,9.6,1.0,8.0,1.0,0.0,0.0,9.5,1.0,9.5,1.0,0.0,0.0,9.0,8.64,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e21171b6595de178c94efc73e57e0a,2015,2.0,0.0,2.0,800.0,1,1989.0,5,2,1,0,1,0,1,1.3,-1.0,1.5,-1.0,0.0,-1.0,3.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.07,7.0,22.0,7.0,1.3,-1.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.34,5.0,86.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e410bb5a85c2d301797dc136ffb583,2023,2.0,,3.0,4966.0,1,2003.0,5,2,1,0,0,0,0,7.2,1.0,1.6,-1.0,5.7,1.0,6.0,1.0,9.2,1.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.17,1.0,8.0,1.0,7.2,1.0,7.6,1.0,5.7,1.0,6.0,1.0,9.2,1.0,7.3,1.0,0.0,0.0,0.0,0.0,9.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.52,0.0,10.0,1.0,7.2,1.0,7.6,1.0,5.7,1.0,6.0,1.0,9.2,1.0,7.3,1.0,0.0,0.0,0.0,0.0,9.3,1.0,0.0,0.0,8.6,1.0,0.0,0.0,6.4,1.0,0.0,0.0,8.8,1.0,1.3,0.0,0.0,0.0,6.5,1.0,0.0,0.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.59,4.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
